street_name,lat,lon
Guarino Drive,41.53016,-72.66404
Hartwell Road,41.594456,-73.35989
Brock Street,41.349087,-72.86612
Amity Road,41.414253,-72.999725
Sturges Highway,41.174797,-73.32321
Cross Street,41.120064,-73.415794
Harbor Avenue,41.112534,-73.412186
Cross Highway,41.30838,-73.367294
Cattle Pen Lane,41.25312,-73.474014
Main Avenue,41.14662,-73.42434
Lodge Drive,41.77706,-72.53015
Wicklow Street,41.93609,-72.63715
East Haddam Moodus Road,41.492756,-72.460434
State Highway 66,41.551025,-72.688774
Atwater Street,41.207115,-73.01578
Dupont Place,41.21205,-73.170235
West View Lane,41.094387,-73.43871
Dogwood Drive,41.66067,-72.81436
White Oak Lane,41.765244,-72.872444
Bear Den Road,41.264656,-73.178566
Airport Svc Road,41.92796,-72.68681
London Ter,41.206562,-73.23971
Madison Avenue Exd,41.53143,-72.813705
Cedarhill Road,41.388638,-73.298645
Sea Beach Drive,41.030357,-73.51997
Ridgefield Street,41.790337,-72.69511
Woody Lane,41.47549,-73.469246
State Highway 185,41.82259,-72.76747
Ravenelle Road,41.964493,-71.91713
Upson Road,41.60177,-72.965775
Clover Lane,41.157825,-73.34308
Gordon Street,41.358284,-72.912155
Irving Avenue,41.80872,-73.10567
Ekonk Hill Road,41.63167,-71.848885
Topledge Road,41.294712,-73.44613
John Marshall Place,41.178383,-73.50898
Kellogg Street,41.56232,-73.04518
Littlebrook Road North,41.078423,-73.45389
Thunderbird Drive,41.510536,-73.05188
Savage Hill Road,41.605793,-72.72942
Melody Lane,41.5109,-72.80414
Ayers Road,41.843098,-72.013695
Lawton Drive,41.836746,-72.84434
Lansdowne,41.1365,-73.305786
Sunset Hill Road,41.41972,-73.311966
Mill Street,41.57679,-72.327446
Woodin Road,41.736065,-73.444756
Hilltop Drive Exd,41.87392,-72.4524
Rose Circle,41.566708,-72.66871
Pritchard Road,41.78477,-73.34879
David Circle,41.82315,-72.64606
Meadow Street,41.22885,-73.06418
Katonah Road,41.514057,-72.7417
Muirwood Court,41.477184,-73.35061
Bristol Street,41.719288,-72.68637
Saxony Drive,41.331802,-73.2194
Camelot Lane,41.591362,-71.94544
Ireland Drive,41.763844,-72.33522
Grove Avenue,41.36716,-72.07846
Summer Road,41.68397,-73.472145
Field Road,41.414547,-73.47322
Lustig Road,41.897484,-72.21594
Good Hill Lane,41.555153,-73.27011
Westfield Road,41.762455,-72.73214
Hunting Ridge Farms Road,41.287113,-72.77558
Guire Road,41.478157,-72.66742
Babcock Street,41.37832,-71.83688
Gracie Drive,42.01272,-72.48619
Cassidy Drive,41.689842,-72.84927
Sommers Hill Drive,41.626045,-72.90062
Dixwell Street,41.55602,-72.81338
Rapids Road,41.105804,-73.5569
Valley View Drive,41.86551,-72.40911
Old Johnson Lane,41.50614,-72.63407
Fieldbrook Road,41.58578,-72.7022
Jeep Trail,41.458668,-71.92446
2Nd Street,41.063236,-73.54442
Woodstock Avenue,41.21012,-73.12604
Bannan Lane,41.588806,-72.75791
Laura Lane,41.621845,-72.9616
Petz Road,41.991516,-72.25613
Boyle Drive,41.97231,-72.56945
Randall Drive,41.386494,-72.83321
